Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get All Sensor Data,100,112774,99080,126458,6890.56,0.000%,.78455,1.06,0.26,1386.0
Get All Users,100,12736,1157,29205,9236.68,1.000%,2.02758,3.54,0.67,1785.8
Add New User,100,320,275,605,51.74,0.000%,2.10380,0.63,0.67,307.0
Update User,100,332,274,645,54.47,0.000%,2.10336,0.64,0.71,310.0
Delete User,100,326,272,696,66.87,0.000%,2.10362,0.64,0.53,310.0
Get Prediction,100,11997,3958,19407,4878.58,4.000%,1.88023,2.51,0.62,1369.5
TOTAL,600,23081,272,126458,40793.38,0.833%,3.66744,3.26,1.16,911.4
